index,RegionID,RegionName,SizeRank,RegionType,StateRegionID,StateName,MSARegionID,MSA,CountyRegionID,CountyName,CityRegionID,City,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1
32,395194,"Virginia Beach, VA",32,Metro,56.0,VA,395194.0,Virginia Beach,,,,,0.301145806,0.304497857,0.32353567,0.331977439,0.340717828,0.322948314,0.325431354,0.31529484,0.308356928,0.28351773,0.254089738,0.282654209,0.272224576,0.275372228,0.282835451,0.249679436,0.23038201,0.221885033,0.222231753187019,0.214413666099773,0.198566649881351,0.176998236378665,0.164034966306113,0.160794906479134
33,394902,"Nashville, TN",33,Metro,53.0,TN,394902.0,Nashville,,,,,0.265493103,0.26267397,0.26781059,0.27139281,0.275128771,0.250572659,0.244059058,0.220449655,0.201655333,0.167180869,0.152143458,0.148081569,0.131674554,0.120627261,0.111176227,0.099036283,0.089774673,0.080845354,0.0792181711698093,0.0752185595950775,0.0697594111465999,0.0624600318978348,0.0608467330058469,0.0614893785165317
34,395005,"Providence, RI",34,Metro,50.0,RI,395005.0,Providence,,,,,0.295877162,0.273805266,0.288971924,0.294626632,0.293921919,0.272757201,0.27146005,0.263179925,0.255128157,0.222429901,0.214734713,0.212697704,0.194445913,0.180295753,0.181605561,0.162083806,0.153163245,0.134927815,0.130810557771102,0.126221574256771,0.114946453453643,0.0984516823488319,0.0952201470450741,0.0947899074098784
35,394862,"Milwaukee, WI",35,Metro,60.0,WI,394862.0,Milwaukee,,,,,0.293498673,0.294251189,0.308250959,0.324724158,0.324728345,0.300353553,0.291305933,0.281892862,0.261716037,0.234808965,0.229183768,0.227724172,0.20695436,0.199015504,0.228009361,0.209770286,0.193779263,0.185540592,0.181583036072968,0.180575014384713,0.163247282602067,0.131935780477885,0.134533119882802,0.134456815893607
36,394714,"Jacksonville, FL",36,Metro,14.0,FL,394714.0,Jacksonville,,,,,0.484142786,0.490545912,0.503656836,0.518872042,0.511826932,0.478037747,0.465999328,0.44664424,0.418559832,0.361527909,0.340667828,0.332411106,0.29613671,0.275993563,0.270188927,0.242286467,0.223991014,0.200288773,0.194685748385151,0.187537462891771,0.16334139239699,0.143699854999464,0.133343183046953,0.130456603570896
37,394849,"Memphis, TN",37,Metro,53.0,TN,394849.0,Memphis,,,,,0.333431183,0.379461934,0.416374565,0.408221296,0.424491856,0.381263793,0.385977172,0.342890033,0.309760609,0.270776234,0.266750126,0.268781243,0.263299702,0.247595071,0.251082053,0.229547488,0.212949092,0.190606999,0.178671236541544,0.169659218914276,0.168887380685886,0.141133854630651,0.135693890684538,0.136154312189132
38,394935,"Oklahoma City, OK",38,Metro,45.0,OK,394935.0,Oklahoma City,,,,,0.158944533,0.174225342,0.183283196,0.176891636,0.194545916,0.173757532,0.163282217,0.158000628,0.152160872,0.137021428,0.125496771,0.119199482,0.109203575,0.111568442,0.109231359,0.091991093,0.091281032,0.090237183,0.0881587640512601,0.0850603786020703,0.0860648388972597,0.0851628529649663,0.0841345086091772,0.0846153966533125
39,394807,"Louisville-Jefferson County, KY",39,Metro,24.0,KY,394807.0,Louisville/Jefferson County,,,,,0.215705242,0.214205496,0.196981294,0.193425996,0.205582019,0.189231796,0.174116294,0.169109657,0.165970502,0.142816341,0.156029496,0.15273375,0.144833855,0.154439229,0.156010145,0.134942806,0.122433067,0.115807942,0.114815043481182,0.113339157744368,0.103207592756946,0.099108501867187,0.0988556870154966,0.0934087140207343
40,394669,"Hartford, CT",40,Metro,11.0,CT,394669.0,Hartford,,,,,0.195847676,0.185054293,0.208982693,0.220204879,0.2135864,0.205057929,0.217308002,0.202930407,0.204238752,0.176922478,0.174968201,0.191210062,0.181734054,0.180647483,0.194301301,0.17611404,0.164519163,0.154713169,0.154453530140454,0.153970601876294,0.145864238477254,0.129155450630424,0.12857820589036,0.131999932001018
41,395022,"Richmond, VA",41,Metro,56.0,VA,395022.0,Richmond,,,,,0.287901351,0.29233751,0.304849273,0.307559247,0.310706189,0.285203068,0.288439644,0.276122821,0.253639961,0.233668061,0.221587875,0.222195605,0.224119673,0.213561597,0.2224165,0.193456071,0.172652344,0.155893319,0.148432149964701,0.145880339883643,0.137116612198352,0.118275326377449,0.111918901389466,0.108223378872409
